ID,Brand,Model,Year,BulbType,Position,PartNumber,Source
12,"ROADSTER S (E85) 07/03-12/05 HALOGEN H7 H7 - W5W H11 P21W P21W/","LEDP21W LED **","6411","H7","Unknown","PY21WP21W","OSRAM Guide"
13,"ALPINEALPINE / AUDIA110 II 12/17->> STANDARD LED LED LED LED - LED LED LED LED LED LED LED","PY21WP21W P21/5W P21/5W T4W  C5W","6411","H1","Headlight","ALPINEALPINE","OSRAM Guide"
14,"ALPINEALPINE / AUDIA110 II 12/17->> STANDARD LED LED LED LED - LED LED LED LED LED LED LED","PY21WP21W P21/5W P21/5W T4W  6411","6411","H4","Unknown","","OSRAM Guide"
15,"ALPINEALPINE / AUDIA110 II 12/17->> STANDARD LED LED LED LED - LED LED LED LED LED LED LED","W5WH3 P21W P21W P21/5W P21/5W T4W  C5W","6411","H3","Headlight","5WR10W","OSRAM Guide"
16,"ALPINEALPINE / AUDIA110 II 12/17->> STANDARD LED LED LED LED - LED LED LED LED LED LED LED","< , Halogen H7 H15 H15 H15 H8 HY21W WY16W/","2015","H1","Unknown","LEDC5W","OSRAM Guide"
17,"LEDLED W5W/LED LEDAUDIAVEC PHARE PRINCIPAL À ÉCLAIRAGE INTÉGRAL","> , Halogen, avec phares","2000","H4","Unknown","LEDLED","OSRAM Guide"
18,"LEDLED W5W/LED LEDAUDIAVEC PHARE PRINCIPAL À ÉCLAIRAGE INTÉGRAL","< , Halogen H1 H7 - W5W H7 PY21W P21W/","2001","H7","Unknown","","OSRAM Guide"
19,"LEDLED W5W/LED LEDAUDIAVEC PHARE PRINCIPAL À ÉCLAIRAGE INTÉGRAL","< , Bi-Xenon D5S D5S LED LED - ** WY16W/","2017","W5W","Unknown","LEDLED","OSRAM Guide"
20,"LEDLED W5W/LED LEDAUDIAVEC PHARE PRINCIPAL À ÉCLAIRAGE INTÉGRAL","> , Bi-Xenon D3S D3S LED LED - ** RY10W/","2016","LED","Unknown","LEDLED","OSRAM Guide"
21,"LEDLED W5W/LED LEDAUDIAVEC PHARE PRINCIPAL À ÉCLAIRAGE INTÉGRAL","PY21WP21W P21W P21W C5W /","6411","H11","Unknown","W5WC5W","OSRAM Guide"
22,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Halogen H7 H7 PSX26W PSX26W H8 ** P21W/","2013","LED","Unknown","LEDLED","OSRAM Guide"
23,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Bi-Xenon D3S D3S LED LED H8 ** P21W/","2013","H8","Unknown","","OSRAM Guide"
24,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Halogen H7 H7 PSX26W PSX26W H8 ** PY21W/","2013","C5W","Unknown","WY16WLED","OSRAM Guide"
25,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Bi-Xenon D3S D3S LED LED H11 ** PY21W/","2013","H8","Unknown","","OSRAM Guide"
26,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Bi-Xenon D3S D3S LED LED H8 ** PY21W/","2013","H8","Unknown","","OSRAM Guide"
27,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Halogen H7 H7 PSX26W PSX26W H8 ** WY16W/","2012","LED","Unknown","LEDLED","OSRAM Guide"
28,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","< , Bi-Xenon D3S D3S LED LED H8 ** WY16W/","2012","LED","Unknown","","OSRAM Guide"
29,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","LEDC5W C5W X","6486","H7","Unknown","C5WC5W","OSRAM Guide"
30,"TIPO/VERSIONEAUDIA4 (8K2, B8) 11/07-12/15 > 2012, HALOGEN H7 H7 P13W P13W H11 ** P21W/","LEDC5W C5W XModèle/","6486","H1","Unknown","","OSRAM Guide"
31,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","< , Bi-Xenon, avec éclairage","2009","H11","Unknown","LEDC5W","OSRAM Guide"
32,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","< , Bi-Xenon D5S D5S LED LED - ** PY21W/","2015","W5W","Unknown","","OSRAM Guide"
33,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","LEDC5W  W5W","6411","H7","Unknown","","OSRAM Guide"
34,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","< /06, Bi-Xenon, avec éclairage","2008","H7","Unknown","","OSRAM Guide"
35,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","LEDLED  W5W","6411","W5W","Unknown","","OSRAM Guide"
36,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","C5WX","6486","H1","Unknown","LED8LED","OSRAM Guide"
37,"LEDC5W C5W 6486XAUDI< 2009, BI-XENON D3S D3S LED LED H11 PY21W PY21W P21W/","PY21WP21W R5W P21/5W T4W  C5W","6411","LED","Unknown","CABRIOLET","OSRAM Guide"
38,"TIPO/VERSIONEAUDIQ2 (GAB, GAG) 06/16->> HALOGEN H7 H7 ** ** - ** P21W/","< , Bi-Xenon D5S D5S LED LED - ** WY16W/","2015","LED","Unknown","LEDLED","OSRAM Guide"
39,"TIPO/VERSIONEAUDIQ2 (GAB, GAG) 06/16->> HALOGEN H7 H7 ** ** - ** P21W/","< , Bi-Xenon D3S D3S LED LED H11 LED P21W/","2010","H1","Unknown","WY16WC5W","OSRAM Guide"
40,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","LEDP21W W5W/LED P21W LED W5W/LED /LED","6411","H1","Unknown","LEDLED","OSRAM Guide"
41,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","< /09 H7 H7 - W5W H1 P21W/","1994","H7","Unknown","LED3LED","OSRAM Guide"
42,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","< , Xenon D2S H7 - W5W H11/HB4 P21W/","2002","H1","Unknown","","OSRAM Guide"
43,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","LEDP21W C5W/LED **","6411","H11","Unknown","","OSRAM Guide"
44,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","< /09, Halogen H7 H7 - ** H8/HB4 ** P21W/","2008","H8","Unknown","","OSRAM Guide"
45,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","< , Halogen H7 H7 LED LED H8/LED PY21W P21W/","2015","PY21W","Unknown","","OSRAM Guide"
46,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","PY21WR10W P21/5W C5W **","6411","H3","Unknown","","OSRAM Guide"
47,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","PY21WR5W P21W C5W **","6411","H7","Unknown","PY21WP21","OSRAM Guide"
48,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","< /03, Xenon D2S H7 - W5W H11/HB4 P21W/","2003","H1","Unknown","","OSRAM Guide"
49,"LEDLED W5W/LED C5WBMWLED LED LED LED LED H8/LED LED PY21W LED P21W/","LED** ** LED **","6411","W5W","Unknown","","OSRAM Guide"
50,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","C5WBMW","6411","H7","Unknown","","OSRAM Guide"
51,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","LED** ** C5W/LED **","6411","H8","Unknown","","OSRAM Guide"
52,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","PY21WR5W P21/5W C5W /","6411","H7","Unknown","LEDLED","OSRAM Guide"
53,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","PY21WP21W P21W C5W C5W/**","6411","H1","Unknown","","OSRAM Guide"
54,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","LEDLED **","6411","LED","Unknown","","OSRAM Guide"
55,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","< /09, Xenon D2S H7 - ** H8/HB4 P21W/","2000","H7","Unknown","","OSRAM Guide"
56,"TIPO/VERSIONEBMW3 COUPE (E46) 04/99-07/06 > 2001/08, HALOGEN H7 H7 - W5W HB4 P21W/","< , Bi-Xenon D1S H7 - ** HB4/H8 PY21W PY21W/","2005","H8","Unknown","","OSRAM Guide"
57,"PY21WR5W P21W C5W 6411 6411BMW> 2000/08, XENON D2S HB3 - H6W H7/HB4 P21W/","LED**/LED LED LED LED LED W5W","6411","PY21W","Unknown","PY21WR5W","OSRAM Guide"
58,"PY21WR5W P21W C5W 6411 6411BMW> 2000/08, XENON D2S HB3 - H6W H7/HB4 P21W/","< /09 D2S HB3 - W5W H3 P21W/","1998","H3","Unknown","","OSRAM Guide"
59,"PY21WR5W P21W C5W 6411 6411BMW> 2000/08, XENON D2S HB3 - H6W H7/HB4 P21W/","< /03, Xenon D1S D1S - ** HB4 P21W/","2005","H8","Unknown","","OSRAM Guide"
60,"I8 ROADSTER (I15) 03/18->> STANDARD LED LED LED LED - LED LED LED LED LED LED LED","< /09, Xenon D1S H7 - ** H11 ** P21W/","2006","H7","Unknown","LED3LED","OSRAM Guide"
61,"TIPO/VERSIONEBMWX4 (F26) 04/14->> HALOGEN H7 H7 W21W W5W H8/LED P21W P21W LED ** LED ** LED","< /10, Halogen H7 H1 - ** H11 P21W/","2003","C5W","Unknown","PY21WP21W","OSRAM Guide"
62,"TIPO/VERSIONEBMWX4 (F26) 04/14->> HALOGEN H7 H7 W21W W5W H8/LED P21W P21W LED ** LED ** LED","< /10, Xenon D2S H1 - ** H11 P21W/","2003","H1","Unknown","","OSRAM Guide"
63,"TIPO/VERSIONEBMWX4 (F26) 04/14->> HALOGEN H7 H7 W21W W5W H8/LED P21W P21W LED ** LED ** LED","> /05, Bi-Xenon, sans éclairage","2010","H1","Unknown","WY16WC5W","OSRAM Guide"
64,"TIPO/VERSIONEBMWX4 (F26) 04/14->> HALOGEN H7 H7 W21W W5W H8/LED P21W P21W LED ** LED ** LED","> /05, Bi-Xenon, avec éclairage","2010","H8","Unknown","","OSRAM Guide"
65,"Z3 ROADSTER (E36) 10/95-01/03 STANDARD H7/HB4 HB3 - W5W H7 P21W/","PY21WR5W P21W R10W **","6411","H7","Unknown","LED3LED","OSRAM Guide"
66,"Z3 ROADSTER (E36) 10/95-01/03 STANDARD H7/HB4 HB3 - W5W H7 P21W/","PY21WR5W P21W W5W C5W","6411","H1","Unknown","","OSRAM Guide"
67,"DS5 11/11-07/15 HALOGEN H7 H1 LED LED H11 HY21W PY21W LED P21W W5W ** W5W","< /06 H7 H7 W21/5W/","2014","H1","Unknown","JUMPER","OSRAM Guide"
68,"SANDERO 06/08->> STANDARD H4 H4 - W5W H11 PY21W PY21W P21/5W P21/5W W5W W5W C5WCITROËN","PY21WP21/5W P21/5W W5W **","6411","H3","Unknown","LACETTI","OSRAM Guide"
69,"SANDERO 06/08->> STANDARD H4 H4 - W5W H11 PY21W PY21W P21/5W P21/5W W5W W5W C5WCITROËN","W5WP21/5W W5W **","6411","H3","Unknown","LEGANZA","OSRAM Guide"
70,"SANDERO 06/08->> STANDARD H4 H4 - W5W H11 PY21W PY21W P21/5W P21/5W W5W W5W C5WCITROËN","PY21WP21/5W P21/5W W5W /","6411","H1","Headlight","DAIHATSUDAIH","OSRAM Guide"
71,"TIPO/VERSIONEFIATDUCATO PANORAMA","LEDH11 WY21W PY21W P21/5W P21/5W C5W  -DODGE","6411","H4","Unknown","DUCATO","OSRAM Guide"
72,"TIPO/VERSIONEFIATDUCATO PANORAMA","LEDH11 WY21W PY21W P21/5W P21/5W R5W  -","6411","H3","Unknown","FIORINO","OSRAM Guide"
73,"TIPO/VERSIONEFIATDUCATO PANORAMA","LEDH11 PY21W PY21W P21/5W P21/5W C5W  W5W","6411","H4","Unknown","MULTIPLA","OSRAM Guide"
74,"TIPO/VERSIONEFIATDUCATO PANORAMA","< , avec phare double6H1 H1 - W5W H1 P21W/","2004","H1","Unknown","PY21WP21W","OSRAM Guide"
75,"TIPO/VERSIONEFIATDUCATO PANORAMA","< ,avec phare simple4H4 H4 - W5W H1 P21W/","2004","H1","Unknown","","OSRAM Guide"
76,"TIPO/VERSIONEFIATDUCATO PANORAMA","W5W -","6411","H1","Headlight","4WP21W","OSRAM Guide"
77,"TIPO/VERSIONEFIATDUCATO PANORAMA","W5W -Modèle/","6411","H4","Unknown","TALENTO","OSRAM Guide"
78,"PR21/5WW5W ** W5WFORDHALOGEN, AVEC TECHNOLOGIE LED9H7 H1 LED LED H11 PY21W PY21W P21/5W/","PY21WP21W P21/5W P21/5W R10W  W5W","6411","H3","Unknown","ESCORT","OSRAM Guide"
79,"PR21/5WW5W ** W5WFORDHALOGEN, AVEC TECHNOLOGIE LED9H7 H1 LED LED H11 PY21W PY21W P21/5W/","PY21WP21W P21/5W P21/5W R10W  -","6411","H3","Unknown","ESCORT","OSRAM Guide"
80,"PR21/5WW5W ** W5WFORDHALOGEN, AVEC TECHNOLOGIE LED9H7 H1 LED LED H11 PY21W PY21W P21/5W/","< /09 H4 H4 - W5W H1 P21W/","1999","H3","Unknown","FIESTA","OSRAM Guide"
81,"TIPO/VERSIONEFORDHALOGEN, AVEC ÉCLAIRAGE DE JOUR11H7 H15/H1 H15/LED W5W/LED H11 PY21W PY21W P21/5W/","W5W **","6411","H7","Light","FIESTA","OSRAM Guide"
82,"TIPO/VERSIONEFORDHALOGEN, AVEC ÉCLAIRAGE DE JOUR11H7 H15/H1 H15/LED W5W/LED H11 PY21W PY21W P21/5W/","W5W W5W","6411","H8","Unknown","PR21WC5W","OSRAM Guide"
83,"FFS, DS)07/04-09/12 HALOGEN, FEU ARRIÈRE ROUGE18H7 H1 - W5W H11/H8 PY21W PY21W P21/5W P21/5W C5W/","< /10 H4 H4 - W5W H11 P21W/","2005","H11","Unknown","GALAXY","OSRAM Guide"
84,"FFS, DS)07/04-09/12 HALOGEN, FEU ARRIÈRE ROUGE18H7 H1 - W5W H11/H8 PY21W PY21W P21/5W P21/5W C5W/","< /04, Halogen H7 H1 - W5W H7 PY21W P21W/","2000","H7","Unknown","GALAXY","OSRAM Guide"
85,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","PY21WR5W P21W C5W  -","6411","H11","Unknown","MONDEO","OSRAM Guide"
86,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","PY21WP21/4W P21W C5W  -","6411","H7","Unknown","MONDEO","OSRAM Guide"
87,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","PY21WP21W R5W P21W R10W  W5W","6411","H1","Unknown","MONDEO","OSRAM Guide"
88,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","> , avec phare double6, avec","2018","H1","Unknown","RANGER","OSRAM Guide"
89,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","< , avec phare double6, avec","2019","H7","Unknown","","OSRAM Guide"
90,"MAVERICK (UDS, UNS) 02/93-04/98 STANDARD H4 H4 - W5W H1 P21W P21W R10W P21W C5W 6411 C5W","PY21WR5W P21W W5W  W5W","6411","H3","Unknown","SCORPIO","OSRAM Guide"
91,"TIPO/VERSIONEFORDS-MAX (CJ) HALOGEN, AVEC TECHNOLOGIE LED9H7 H7 LED LED H8 ** LED LED LED W5W LED -","LEDW5W  W5W","6411","H8","Unknown","LED9H7","OSRAM Guide"
92,"TIPO/VERSIONEFORDS-MAX (CJ) HALOGEN, AVEC TECHNOLOGIE LED9H7 H7 LED LED H8 ** LED LED LED W5W LED -","W5W LED","6411","H1","Unknown","TOURNEO","OSRAM Guide"
93,"TIPO/VERSIONEHONDA< 2009 D2S HB3 - W5W H8 WY21W WY21W LED LED W5W ** W5W","<  D2S H1 - W5W - W21W W21W LED LED W5W C5W -","2004","H4","Unknown","SHUTTLE","OSRAM Guide"
94,"HYUNDAIHYUNDAIACCENT I (X-3) 05/94-01/00 STANDARD H4 H4 - W5W H1 P21W/","PY21WP21/5W P21/5W W5W  C5W","6411","H4","Unknown","ACCENT","OSRAM Guide"
95,"HYUNDAIHYUNDAIACCENT I (X-3) 05/94-01/00 STANDARD H4 H4 - W5W H1 P21W/","PY21WP21W P21/5W P21/5W W5W  C5W","6411","HB3","Unknown","PY21WP21W","OSRAM Guide"
96,"HYUNDAIHYUNDAIACCENT I (X-3) 05/94-01/00 STANDARD H4 H4 - W5W H1 P21W/","PY21WP21/5W P21W W5W  C5W","6411","H1","Unknown","ELANTRA","OSRAM Guide"
97,"HYUNDAIHYUNDAIACCENT I (X-3) 05/94-01/00 STANDARD H4 H4 - W5W H1 P21W/","C5W C5W","6411","H4","Unknown","GALLOPER","OSRAM Guide"
98,"HYUNDAIHYUNDAIACCENT I (X-3) 05/94-01/00 STANDARD H4 H4 - W5W H1 P21W/","<  H7 H7 - W5W H27W/2/","2018","H1","Unknown","H8PY21W","OSRAM Guide"
99,"LEDH8 PY21W PY21W P21/5W P21/5W ** ** -HYUNDAIHIGHWAY VAN 03/00-03/04 > 2000 H7 H3 - W5W H1 PY21W P21W P21/5W P21/5W W5W R10W/","-","6411","H7","Unknown","HYUNDAIHIGHW","OSRAM Guide"
100,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","W5W- P21W P21W P21/5W P21/5W R5W  C5W","6411","H3","Unknown","LANTRA","OSRAM Guide"
101,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","PY21WP21W P21/5W P21/5W W5W /** C5W","6411","H3","Unknown","LANTRA","OSRAM Guide"
102,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","PY21WP21W P21/5W P21/5W W5W /** W5W/**","6411","W5W","Unknown","MATRIX","OSRAM Guide"
103,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","W5WH1 P21W P21W P21/5W P21/5W R5W  W5W","6411","H3","Unknown","","OSRAM Guide"
104,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","H27W/2PY21W P21W P21/5W P21/5W W5W **","6411","H7","Unknown","","OSRAM Guide"
105,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","H6WH27W/2 PY21W PY21W P21/5W P21/5W W5W  6411","6411","H7","Unknown","","OSRAM Guide"
106,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","W5W C5W","6411","H3","Unknown","SONATA","OSRAM Guide"
107,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","PY21WPY21W P21/5W P21/5W W5W  C5W","6411","W5W","Unknown","SONATA","OSRAM Guide"
108,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","< , LED LED LED LED LED H8 LED PY21W/","2019","H7","Unknown","TUCSON","OSRAM Guide"
109,"TIPO/VERSIONEHYUNDAILED LED LED LED LED H8 PY21W P21W W5W/LED P21/5W/","< /11 H7 H1 - W5W HB4 P21W/","2002","H1","Unknown","INFINITIINFI","OSRAM Guide"
110,"KIAKIABESTA VAN 01/93-12/03 STANDARD H4 H4 - T4W H1 PY21W P21W P21/5W P21/5W W5W R10W/","K Platform/Chassis","2500","W5W","Unknown","CLARUS","OSRAM Guide"
111,"TIPO/VERSIONEOPTIMA (JF) 09/15->> HALOGEN H7 HB3 LED LED LED PY21W PY21W LED LED W5W ** C5WKIAXENON D3S H7 LED LED LED PY21W PY21W LED LED W5W ** C5W","PY21WP21/5W P21/5W W5W  -","6411","W5W","Unknown","SEPHIA","OSRAM Guide"
112,"TIPO/VERSIONEOPTIMA (JF) 09/15->> HALOGEN H7 HB3 LED LED LED PY21W PY21W LED LED W5W ** C5WKIAXENON D3S H7 LED LED LED PY21W PY21W LED LED W5W ** C5W","LEDC5W **","6411","PY21W","Unknown","SORENTO","OSRAM Guide"
113,"TIPO/VERSIONEKIASOUL I (AM) 02/09->> > 2011 H4 H4 - W5W H27W/2 PY21W PY21W P21/5W/","SAMARA (, 2109,","2108","H3","Unknown","PRIORA","OSRAM Guide"
114,"TIPO/VERSIONEKIASOUL I (AM) 02/09->> > 2011 H4 H4 - W5W H27W/2 PY21W PY21W P21/5W/","SAMARA Saloon (9,","2109","H4","Unknown","","OSRAM Guide"
115,"TIPO/VERSIONEXENON D2S H3 - W5W H1 PY21W P21W R5W P21/5W C5W 6411 **LANCIALYBRA (839_) 07/99-10/05 STANDARD H7 H7 - H6W H1 PY21W PY21W R10W P21W W5W 6411 **","<  H4 H4 - W5W H3 P21W/","1992","W5W","Unknown","PY21WP21W","OSRAM Guide"
116,"PY21WP21W R5W P21W T4W P21W/** -LAND ROVERDEFENDER PICK UP","< , Bi-Xenon D3S D3S LED LED H8 P21W/","2013","H1","Headlight","PY21WPY21W","OSRAM Guide"
117,"TIPO/VERSIONELAND ROVER / LEXUS / LINCOLN / LOTUS / MAN / MASERATI / MAYBACH / MAZDARANGE ROVER VELAR","< /09, Bi-Xenon D4S H9 - LED HB4/LED WY21W/","2009","HB4","Unknown","JZS147","OSRAM Guide"
118,"PY21WP21W R5W P21W W5W C5W -MAZDA2 (DE_, DH_3) 10/07-06/15 AVEC PHARE SIMPLE4H4 H4 - W5W H11 PY21W WY21W W21/5W W21/5W W5W ** C5W","Tipo/versione< /09 H4 H4 - W5W H1 P21W/","1999","H1","Headlight","PY21WP21W","OSRAM Guide"
119,"PY21WP21W R5W P21W W5W C5W -MAZDA2 (DE_, DH_3) 10/07-06/15 AVEC PHARE SIMPLE4H4 H4 - W5W H11 PY21W WY21W W21/5W W21/5W W5W ** C5W","LEDW5W  C5W","6411","H1","Unknown","","OSRAM Guide"
120,"PY21WP21W R5W P21W W5W C5W -MAZDA2 (DE_, DH_3) 10/07-06/15 AVEC PHARE SIMPLE4H4 H4 - W5W H11 PY21W WY21W W21/5W W21/5W W5W ** C5W","LEDW5W  6411","6411","H11","Unknown","LEDW5W","OSRAM Guide"
121,"TIPO/VERSIONEMAZDA626 IV HATCHBACK (GE) 08/91-08/98 STANDARD H1 H1 - W5W H3 P21W P21W P21/5W P21/5W W5W 6411 C5W","< /03 H4 H4 - W5W - P21W/","1996","H4","Unknown","MAZDA626","OSRAM Guide"
122,"TIPO/VERSIONEMAZDA626 IV HATCHBACK (GE) 08/91-08/98 STANDARD H1 H1 - W5W H3 P21W P21W P21/5W P21/5W W5W 6411 C5W","6411","6411","H11","Unknown","LEDW5W","OSRAM Guide"
123,"TIPO/VERSIONEMAZDA626 IV HATCHBACK (GE) 08/91-08/98 STANDARD H1 H1 - W5W H3 P21W P21W P21/5W P21/5W W5W 6411 C5W","< /09 H4 H4 - W5W H11 P21W/","2003","H3","Unknown","LEDWY21W","OSRAM Guide"
124,"MERCEDES-BENZMERCEDES-BENZMB VAN (W631) 02/88-04/96 STANDARD H4 H4 - T4W/","W5WH3 P21W P21W R5W P21W C5W  C5W","6411","H4","Unknown","MERCEDES","OSRAM Guide"
125,"MERCEDES-BENZMERCEDES-BENZMB VAN (W631) 02/88-04/96 STANDARD H4 H4 - T4W/","W5WH3 P21W P21W R10W P21W R10W  -","6411","H3","Unknown","","OSRAM Guide"
