Modèle;date;type;feu_croisement;feu_route;eclairage_jour;feu_position;feu_antibrouillard;clignotant_avant_voiture;clignotant_arriere_voiture;feu_arriere;feu_stop;feu_plaque_immatriculation;eclairage_interieur;eclairage_coffre;
B10 Touring (E34);11/93-04/96;Standard;H1;H1;-;W5W;H1;P21W;P21W;R10W;P21W;C5W;**;6411;
B10 Touring (E39);01/97-05/04;> 2000/08, Halogen;H7;HB3;-;W5W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;> 2000/08, Xenon;D2S;HB3;-;H6W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;< 2000/09, Halogen;D2S;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;;< 2000/09, Xenon;H7;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
B11 (E32);01/87-02/94;Standard;H1;H1;-;W5W;H1;P21W;P21W;R5W;P21W;C5W;6411/**;6411;
B12 (E38);12/95-07/01;> 1998/08, Halogen;H1;H7;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411/**;6411;
;;> 1998/08, Xenon;D2S;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411/**;6411;
;;< 1998/09, Halogen;H7;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;P21/5W;P21/5W;C5W;6411/**;6411;
;;< 1998/09, Xenon;D2S;HB3;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;P21/5W;P21/5W;C5W;6411/**;6411;
B12 Coupe (E31);06/90-12/96;Standard;H1;H1;-;W5W;H1;P21W;P21W;R5W;P21W;C5W;6411;6411;
B3 (E36);04/93-05/99;> 1994/08;H1;H1;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
;;< 1994/09;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B3 (E46);05/99-01/06;> 2001/08, Halogen;H7;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;> 2001/08, Xenon;D2S;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
B3 (E90);09/07-02/13;> 2008/08, Halogen;H7;H7;-;W5W;H11/HB4;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;> 2008/08, Bi-Xenon;D1S;H7;-;**;H11/HB4;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;< 2008/09, Halogen;H7;H7;-;**;H8/HB4;**;LED;LED;P21W;LED;**;6411;
;;< 2008/09, Bi-Xenon;D1S;D1S;H8;H8;H8/HB4;LED;LED;LED;P21W;LED;**;6411;
B3 (F30);03/13-08/18;Bi-Xenon;D1S;D1S;LED;LED;H8;PY21W;P21W;LED;P21W;LED;**;LED;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;-;LED;LED;LED;LED;
B3 (G20);09/19->>;Standard;LED;LED;LED;LED;-;LED;LED;LED;LED;LED;LED;LED;
B3 Convertible (E36);04/93-03/99;> 1994/08;H1;H1;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
;;< 1994/09;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B3 Convertible (E46);10/00-12/05;> 2001/08, Halogen;H7;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;> 2001/08, Xenon;D2S;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2003/03, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;LED;LED;LED;C5W;C5W;-;
;;< 2003/03, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;LED;LED;LED;C5W;C5W;-;
B3 Convertible (E93);04/10-02/14;Bi-Xenon;D1S;D1S;H8;H8;H8;**;LED;LED;LED;LED;**;**;
B3 Coupe (E36);04/96-03/99;Standard;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B3 Coupe (E46);09/99-01/06;> 2001/08, Halogen;H7;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;> 2001/08, Xenon;D2S;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2001/09, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W;-;
;;< 2003/03, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;LED;LED;LED;C5W;C5W;-;
;;< 2003/03, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;LED;LED;LED;C5W;C5W;-;
B3 Coupe (E92);11/09-02/14;> 2010/02, Bi-Xenon;D1S;D1S;H8;H8;H8;**;PY21W;**;**;C5W/LED;**;6411;
;;< 2010/03, Bi-Xenon;D1S;D1S;H8;H8;H8;**;LED;**;**;C5W/LED;**;6411;
B3 Estate (E36);04/93-03/99;> 1994/08;H1;H1;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
;;< 1994/09;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B3 Touring (E46);02/00-01/06;> 2001/08, Halogen;H7;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W/**;6411;
;;> 2001/08, Xenon;D2S;H7;-;W5W;HB4;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W/**;6411;
;;< 2001/09, Halogen;H7;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W/**;6411;
;;< 2001/09, Xenon;D2S;H7;-;W5W;H11;P21W/ PY21W;P21W/ PY21W;P21/4W;P21/4W;C5W;C5W/**;6411;
B3 Touring (E91);11/09-02/13;Halogen;H7;H7;-;**;H8;**;LED;LED;P21W;LED;**;6411;
;;Bi-Xenon;D1S;D1S;H8;H8;H8;LED;LED;LED;P21W;LED;**;6411;
B3 Touring (F31);03/13-06/19;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;PY21W;P21W/ LED;LED;P21W/ LED;LED;LED;LED;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;-;LED;LED;LED;LED;
B3 Touring (G21);09/19->>;Standard;LED;LED;LED;LED;-;LED;LED;LED;LED;LED;LED;LED;
B4 Convertible (F33);03/14->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**;P21W/ LED;LED;H21W/ LED;LED;**;LED;
;;LED;LED;LED;LED;LED;-;LED;P21W/ LED;LED;H21W/ LED;LED;**;LED;
B4 Coupe (F32);03/14->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**;P21W/ LED;LED;H21W/ LED;LED;**;LED;
;;LED;LED;LED;LED;LED;-;LED;P21W/ LED;LED;H21W/ LED;LED;**;LED;
B5 (E60);03/05-09/10;> 2007/03, Halogen;H7;H7;-;W5W;HB4;PY21W;PY21W;LED;P21W;C5W;**;6411;
;;> 2007/03, Bi-Xenon;D1S;H7;-;**;HB4;PY21W;PY21W;LED;P21W;C5W;**;6411;
;;< 2007/04, Halogen;H7;H7;-;**;H8;PY21W;LED;LED;P21W;C5W;**;6411;
;;< 2007/04, Bi-Xenon;D1S;D1S;H8;H8;H8;PY21W;LED;LED;P21W;C5W;**;6411;
B5 (F10);10/10->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;LED/**;LED;LED;LED;LED;W5W;**;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;LED;LED;LED;W5W;**;
B5 (G30);03/17->>;Standard;LED;LED;LED;LED;LED;PY21W;LED;LED;LED;LED;LED;LED;
B5 Estate (E61);03/05-09/10;> 2007/03, Halogen;H7;H7;-;W5W;HB4;PY21W;PY21W;LED;P21W;C5W;**;6411;
;;> 2007/03, Bi-Xenon;D1S;H7;-;**;HB4;PY21W;PY21W;LED;P21W;C5W;**;6411;
;;< 2007/04, Halogen;H7;H7;-;**;H8;PY21W;LED;LED;P21W;C5W;**;6411;
;;< 2007/04, Bi-Xenon;D1S;D1S;H8;H8;H8;PY21W;LED;LED;P21W;C5W;**;6411;
B5 Estate (F11);10/10->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;LED/**;LED;LED;LED;LED;W5W;6411;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;LED;LED;LED;W5W;6411;
B5 Touring (G31);03/17->>;Standard;LED;LED;LED;LED;LED;PY21W;LED;LED;LED;LED;LED;LED;
B6 (E36);03/92-07/93;Standard;H1;H1;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B6 Convertible (F12);09/11->>;Bi-Xenon;D1S;D1S;LED;LED;LED;**;LED;LED;LED;LED;-;**;
;;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;-;**;
B6 Coupe (F13);09/11->>;Bi-Xenon;D1S;D1S;LED;LED;LED;**;LED;LED;LED;LED;-;**;
;;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;-;**;
B6 Gran Coupe (F06);03/14->>;Bi-Xenon;D1S;D1S;LED;LED;LED;**;LED;LED;LED;LED;**;6411;
;;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;**;6411;
B7 (E65);12/03-06/08;Halogen;H7;H7;-;W5W;H3;P21W/ PY21W;P21W/ PY21W;LED;LED;W5W;W5W;6411;
;;Xenon;D2S;H7;-;**;H3;P21W/ PY21W;P21W/ PY21W;LED;LED;W5W;W5W;6411;
B7 (F01, F02);09/09-01/16;Bi-Xenon;D1S;D1S;H8;H8;H8;LED;LED;LED;LED;LED;**;6411;
B7 (G12);02/16->>;Standard;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;LED;
B8 (E36);01/95-03/98;Standard;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B8 Convertible (E36);01/95-03/98;Standard;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B8 Coupe (E36);01/95-03/98;Standard;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
B8 Estate (E36);01/95-03/98;Standard;H7;H7;-;W5W;H1;PY21W;PY21W;R5W;P21W;C5W;6411/**;6411;
D10 (E39);04/00-10/03;> 2000/08, Halogen;H7;HB3;-;W5W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;> 2000/08, Xenon;D2S;HB3;-;H6W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;< 2000/09, Halogen;D2S;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;;< 2000/09, Xenon;H7;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
D10 Estate (E39);04/00-10/03;> 2000/08, Halogen;H7;HB3;-;W5W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;> 2000/08, Xenon;D2S;HB3;-;H6W;H7/HB4;P21W/ PY21W;P21W/ PY21W;R5W;P21W;C5W;6411;6411;
;;< 2000/09, Halogen;D2S;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
;;< 2000/09, Xenon;H7;H7;-;**;H8/HB4;P21W/ PY21W;P21W/ PY21W;LED;P21W;C5W;6411;6411;
D3 (E90);12/05-02/14;> 2008/08, Halogen;H7;H7;-;W5W;H11/HB4;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;> 2008/08, Bi-Xenon;D1S;H7;-;**;H11/HB4;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;< 2008/09, Halogen;H7;H7;-;**;H8/HB4;**;LED;LED;P21W;LED;**;6411;
;;< 2008/09, Bi-Xenon;D1S;D1S;H8;H8;H8/HB4;LED;LED;LED;P21W;LED;**;6411;
D3 (F30);03/14-07/18;Bi-Xenon;D1S;D1S;LED;LED;H8;PY21W;P21W;LED;P21W;LED;**;LED;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;-;LED;LED;LED;LED;
D3 (G20);05/20->>;Standard;LED;LED;LED;LED;-;LED;LED;LED;LED;LED;LED;LED;
D3 Coupe (E92);08/08-08/14;> 2010/02, Bi-Xenon;D1S;D1S;H8;H8;H8;**;PY21W;**;**;C5W/LED;**;6411;
;;< 2010/03, Bi-Xenon;D1S;D1S;H8;H8;H8;**;LED;**;**;C5W/LED;**;6411;
D3 Estate (E91);12/05-02/14;> 2008/08, Halogen;H7;H7;-;W5W;H11;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;> 2008/08, Bi-Xenon;D1S;H7;-;**;H11;PY21W;P21W;P21W;P21W;C5W;**;6411;
;;< 2008/09, Halogen;H7;H7;-;**;H8;**;LED;LED;P21W;LED;**;6411;
;;< 2008/09, Bi-Xenon;D1S;D1S;H8;H8;H8;LED;LED;LED;P21W;LED;**;6411;
D3 Estate (F31);03/14-07/18;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;PY21W;P21W/ LED;LED;P21W/ LED;LED;LED;LED;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;-;LED;LED;LED;LED;
D3 Touring (G21);05/20->>;Standard;LED;LED;LED;LED;-;LED;LED;LED;LED;LED;LED;LED;
D4 Convertible (F33);09/14->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**;P21W/ LED;LED;H21W/ LED;LED;**;LED;
;;LED;LED;LED;LED;LED;-;LED;P21W/ LED;LED;H21W/ LED;LED;**;LED;
D4 Coupe (F32);09/14->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**;P21W/ LED;LED;H21W/ LED;LED;**;LED;
;;LED;LED;LED;LED;LED;-;LED;P21W/ LED;LED;H21W/ LED;LED;**;LED;
D5 (F10);09/11->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**/LED;LED;LED;LED;LED;W5W;**;
;;LED;LED;LED;LED;LED;H8/LED;**/LED;LED;LED;LED;LED;W5W;**;
D5 (G30);07/17->>;Standard;LED;LED;LED;LED;LED;PY21W;LED;LED;LED;LED;LED;LED;
D5 Touring (F11);09/11->>;Bi-Xenon;D1S;D1S;LED;LED;H8/LED;**/LED;LED;LED;LED;LED;W5W;6411;
;;LED;LED;LED;LED;LED;H8/LED;LED;LED;LED;LED;LED;W5W;6411;
D5 Touring (G31);07/17->>;Standard;LED;LED;LED;LED;LED;PY21W;LED;LED;LED;LED;LED;LED;
RLE Roadster (Z1);08/90-09/91;Standard;H1;H1;-;P21/5W;-;P21W;P21W;R5W;P21W;6411;C5W;6411;
ROADSTER (Z8);06/02-10/03;Xenon;D2S;HB3;-;H6W;-;**;**;**;**;C5W;**;-;
ROADSTER S (E85);07/03-12/05;Halogen;H7;H7;-;W5W;H11;P21W;P21W/ PY21W;P21W;P21W;W5W;C5W;-;
;;Xenon;D2S;H7;-;W5W;H11;P21W;P21W/ PY21W;P21W;P21W;W5W;C5W;-;
XD3 (F25);03/13->>;Bi-Xenon;D1S;D1S;LED;LED;H11/H8;PY21W;P21W;P21W/ LED;P21W;LED;**;6411;
;;LED;LED;LED;LED;LED;LED;LED;P21W;P21W/ LED;P21W;LED;**;6411;
XD3 (G01);07/18->>;LED;LED;H7;LED;LED;LED;**;P21W;LED;P21W;LED;LED;LED;
;;avec phare principal à éclairage intégral LED3;LED;LED;LED;LED;LED;LED;P21W;LED;P21W;LED;LED;LED;
XD4 (G02);07/18->>;LED;LED;H7;LED;LED;LED;**;LED;LED;LED;LED;**;**;
;;avec phare principal à éclairage intégral LED3;LED;LED;LED;LED;LED;**;LED;LED;LED;LED;**;**;
*ALPINE;;;;;;;;;;;;;;;
A110 II;12/17->>;Standard;LED;LED;LED;LED;-;LED;LED;LED;LED;LED;LED;LED;
*AUDI;;;;;;;;;;;;;;;
100 C3 Saloon (443, 444);08/82-07/91;Standard;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21/5W;T4W;6411;C5W;
100 C4 Saloon (4A2);12/90-07/94;avec phare simple4;H4;H4;-;T4W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;C5W;
;;avec phare triple5;H3;H1;-;T4W;H1;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;C5W;
100 C3 Avant (445, 446);08/82-11/90;Standard;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21/5W;T4W;6411;6411;
100 Avant (4A5, C4);12/90-11/94;avec phare simple4;H4;H4;-;T4W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;6411;
;;avec phare triple5;H3;H1;-;T4W;H1;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;6411;
200 C3 Saloon (447, 448);06/83-12/91;> 1987;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21/5W;T4W;6411/ T4W;C5W;
;;< 1988;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21/5W;T4W;6411/ T4W;C5W;
"80 B2 Saloon (811, 813,
814, 819, 853)";08/78-12/86;Standard;H4;H4;-;T4W;H3;P21W;P21W;R10W;P21W/ P21/5W;R10W;C5W;C5W;
"80 B3 Saloon (893, 894,
8A2)";06/86-10/91;Standard;H4;H4;-;T4W/ W5W;H3;P21W;P21W;P21/5W;P21/5W;T4W;6411;C5W;
80 (8C2, B4);09/91-12/94;avec phare simple4;H4;H4;-;T4W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;C5W;
;;avec phare double6;H4;H1;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;C5W;
80 B4 Avant (8C5);09/91-01/96;avec phare simple4;H4;H4;-;T4W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;6411;
;;avec phare double6;H4;H1;-;W5W;H3;P21W/ PY21W;P21W;P21/5W;P21/5W;T4W;6411;6411;
